nome,area,org,municipio
Operação Desumanidade - 3ª fase (PB),Obras,municipal,Malta
Operação Lateronis (BA),Educação,municipal,
Operação Controle Institucional,,municipal,Itaituba (PA)
Operação Tapauara (AM),Educação;Saúde,municipal,Tapauá;Manaus;ambos no Amazonas
Operação Torniquete (SP),Saúde;Obras,municipal,São Sebastião;Ilhabela;Caraguatatuba;São José dos Campos;São Paulo
Operação Forte do Castelo (PA),PAC;Esporte;BNDES;Saúde,municipal,Belém ultrapassaram o montante de R$ 500 milhões
Operação Melinoe (BA),Educação,municipal,Jequié (BA)
Operação Esperança Equilibrista (MG),Educação,,
Operação Torre de Marfim (SC),Educação,,
Operação Custo Político (AM),Saúde,municipal,Manaus (AM);Brasília (DF);São Paulo (SP);Recife (PE)
Operação Bons Princípios (PI),Educação;Saúde,municipal;estadual,Bom Princípio;Parnaíba;Teresina
Operação Gênesis (PE),Educação,municipal,Quipapá (PE)
Operação Senhores da Fome 2ª fase (AP),Educação,,
Operação Estado de Emergência (AM),Saúde,municipal,Rio Preto da Eva
Operação Controle de Qualidade (ES),Obras,municipal,Vitória (ES);Vila Velha (ES)
Operação Caixa 3,Operaç?es de Crédito,,
Operação Curriculum,Educação,,
Operação Again (MS),Saúde,municipal,Campo Grande (MS);Dourados (MS);Belém (PA);com a participação de aproximadamente 100 policiais federais;16 auditores da CGU
Operação Torrentes II - Círculo de Fogo,Integração Nacional,municipal;estadual,Recife (PE);Jaboatão dos Guararapes (PE);São Luís (MA)
Operação 14 Bis (PR),Educação,municipal,Cornélio Procópio;Maringá;Uraí;Nova América da Colina
Operação Amphibia (MG),Saúde,,
Operação Torniquete 2 (SP),Saúde,,
Operação Apate (MT),Cultura,municipal;estadual,Cuiabá (MT)
Operação Xeque-Mate (RO),Cultura,municipal,Porto Velho (RO)
Operação Desconstrução (BA),Educação;Saúde,municipal,Anagé
Operação Prato Feito (SP),Educação,municipal,São Paulo
Operação Catabiu (AL),Infraestrutura,estadual,
Operação Ciranda (RO),Educação,municipal,Manacapuru (AM);Porto Velho (RO);Rio Branco (AC);Recife (PE)
Operação Diagnosis (AP e PA),Saúde,municipal,Macapá (AP);Belém (PA);Ananindeua (PA)
Operação Ciranda de Pedra (BA),Obras,municipal,Maiquinique (BA)
Operação Topique (PI e MA),Educação,municipal,São Raimundo Nonato;Campo Maior;Miguel Alves;Luís Correia;Caracol;Regeneração;bem como por meio de análises de contratações efetuadas pelo Estado do Piauí junto às empresas do grupo investigado;além de fiscalizações realizadas nos municípios maranhenses de Timon;São João do Sóter
Operação Marcha à Ré (SE),Educação,municipal,Aracaju;Boquim;Estância;Nossa Senhora do Socorro;Lagarto;Nossa Senhora das Dores;São Cristóvão
Operação Offerus (BA),Educação,municipal,Alagoinhas;Casa Nova;Conde;Ipirá;Jequié;Pilão Arcado
Operação Escamoteamento 3ª fase (PI),,municipal,Buriti dos Lopes (PI)
Operação Patriarcado (SC),Saúde,municipal,Chapecó (SC);Xanxerê (SC);Maringá (PR)
Operação Hospitator (PA),educação;saúde;assistência social,municipal,Abaetetuba (PA)
Operação Arauto (AP),,,
Operação Cashback (AM),Saúde,,
Operações Grande Salto (PA),Educação,municipal,Goianésia do Pará
Operação Frota de Barro (PA),Educação,municipal,Goianésia do Pará
Operação Tritão (SP),Infraestrutura,,
Operação Sombra e Escuridão (BA),licitações,municipal,Igrapiúna (BA) liderava um grupo de empresas de fachada 
Operação Magnus (BA),licitações,municipal,Igrapiúna (BA) liderava um grupo de empresas de fachada 
Operação Carta de Foral (PA),Educação,municipal,
Operação Bricolagem (CE),Obras;Educação,municipal,Fortaleza;Granjeiro;Juazeiro do Norte;Aurora;Várzea Alegre;Caririaçu
Operação Recidiva (PB),Infraestrutura;Educação;Saúde,municipal,Barra de Santa Rosa;Brejo do Cruz;Emas;Imaculada;Juru;São José do Bonfim;São Sebastião de Lagoa de Roça;Teixeira
Operação Computadores de Lama (MS),Diversos,municipal,Campo Grande (MS);Jaraguari (MS);Dourados (MS);Paranhos (MS)
Operação Sesmaria (AL),Educação,municipal,Boca da Mata (AL)
"Operação Recidiva (PB, CE, PE, AL, RN)",Infraestrutura;Educação;Saúde,municipal,João Pessoa;Patos
Operação Trato Feito (SP),Educação,municipal,São Paulo
Operação Zaragata (RR),Educação,municipal,Roraima
Operação Forte do Castelo 2ª fase (PA),Infraestrutura,,
Operação Pityocampa (BA),Saúde,municipal,Feira de Santana (BA)
Operação Deadline (PE),Saúde,municipal,
Operação Graham Bell (CE),Saúde,municipal,Juazeiro do Norte (CE)
Operação Déjà Vu (TO),Saúde,municipal;estadual,Araguaína (TO)
Operação Tapiraguaia (MT),Educação,municipal,Confresa (MT)
